Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths Collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),AGE,SUBSAMPLED FOR ORIGIN? ,Subsample Row,Subsample Fish #,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,3,2,M,490,378,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,DeLaune,6/5/2020,6/5/2020,1,23,C,12,2,F,495,378,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,3,2,M,531,404,Y,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,12,2,F,497,375,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,A,12,2,F,474,365,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,4,2,M,480,360,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,DN,,Hansen,6/5/2020,6/5/2020,1,23,A,1,1,M,478,359,Y,S,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,3,2,F,454,359,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,3,2,M,461,358,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,7,2,M,525,396,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,10,1,F,475,358,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,A,7,2,F,514,395,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,D,5,2,M,457,356,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,A,11,2,F,470,355,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,C,11,2,M,461,354,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,7,2,M,457,348,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,5,2,F,478,346,Y,S,E11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,4,2,M,510,390,N,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,10,2,F,515,390,N,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,74,DeLaune,6/5/2020,6/5/2020,1,23,B,10,2,M,449,345,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO003,Subsistence,Chitina Subdistrict,Below Bridge,BB,DN,,Hansen,6/6/2020,6/6/2020,1,23,B,5,1,F,510,387,N,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,1,2,M,463,343,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,6,2,M,444,338,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/5/2020,6/5/2020,1,23,E,10,2,F,433,325,Y,S,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO101,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/5/2020,6/5/2020,1,23,B,4,2,F,404,310,Y,S,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,B,9,2,M,582,483,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO102,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Hansen,6/6/2020,6/6/2020,1,23,A,3,2,M,581,437,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,C,1,2,F,540,432,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,C,5,2,M,500,431,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,C,6,2,F,459,425,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,B,1,2,M,543,424,Y,S,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sockeye,GRAB,20DO103,Subsistence,Glennallen Subdistrict,Bridge to Tonsina,BT,FW,71,Mikkelsen,6/6/2020,6/6/2020,1,23,A,1,2,M,571,421,Y,S,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
