Species,Sample Type,Sample Number,Harvest Type,Subdistrict,Subdistrict Area,Subarea Initials,Gear,Wheel #,Sampler Name,Sample Date,Date Caught,Sample Week,Stat Week,Row,Fish number,# Otoliths collected,Sex,Length ME-fork,Length ME-A.fin,Whole fish (y/n),Fishery - Fed or State (F/S),AGE,SUBSAMPLED FOR ORIGIN? ,Subsample Row,Subsample Fish #,Origin    (h/w),,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,12,2,M,501,336,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,6,2,F,493,342,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,A,5,1,M,490,350,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,2,1,F,482,325,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/8/2021,6/8/2021,2,24,B,6,1,M,442,293,Y, F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO102,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Smelcer,6/9/2021,6/8/2021,2,24,B,3,1,F,537,330,Y, F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO202,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Beshaw,6/9/2021,6/9/2021,2,24,A,7,2,M,534,411,Y,F,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO202,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Beshaw,6/9/2021,6/9/2021,2,24,A,1,2,M,533,397,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO202,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Beshaw,6/9/2021,6/9/2021,2,24,A,5,2,M,529,412,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sockeye,Grab,21DO202,Subsistence,Glennallen Subdistrict,Tonsina to Gakona,TG,FW,21,Beshaw,6/9/2021,6/9/2021,2,24,A,4,1,M,507,386,Y,F,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
