Scale Card Number,Sampler,Sample week,Date,Stat week,Subdistrict,Subarea name,Subarea,Fishery (State/Fed),Gear,Wheel #,Whole Fish (Y/N),ME-Fork length,ME-A.fin length,Fish Number,Sex ,NVE Yellow Tag Number,Adipose Fin Present (Y/N),Notes (include radio tag # in this column),Age
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,596,450,7,M,,Y,,E3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,780,574,8,F,,Y,,1.3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,838,648,9,F,,Y,,1.3
AP003,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,824,640,10,M,,Y,,E3
AP004,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,817,602,1,F,,Y,,1.3
AP004,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,568,429,2,M,,Y,,1.2
AP004,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,808,632,3,M,,Y,,E3
AP005,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,877,676,1,F,,Y,,E3
AP005,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,865,672,2,F,,Y,,1.4
AP005,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,790,582,3,M,,Y,,E3
AP005,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,873,665,4,M,,Y,,1.3
AP005,Mikkelsen,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,545,407,5,ND,,Y,,1.2
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,822,630,1,M,,Y,Right side scales,E3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,728,548,2,M,,Y,,1.3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,863,647,3,F,,Y,,E3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,815,633,4,F,,Y,,1.4
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,606,456,5,M,,Y,,1.2
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,745,563,6,M,11993,Y,,1.3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,760,580,7,M,,Y,,1.3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,800,607,8,F,,Y,,1.3
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,506,388,9,M,,Y,,1.2
BP002,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,513,396,10,M,,Y,,1.2
BP003,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,662,548,1,F,,Y,,1.3
BP003,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,819,627,2,F,,Y,,2.3
BP003,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,831,624,3,F,,Y,,E3
BP003,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,787,604,4,F,11622,Y,151.075 A-12,1.3
BP003,Williams,2,6/11/2021,24,CSD,Below Bridge,BB,S,DN,,Y,552,424,5,M,,Y,right side scales,1.2
CS004,Smelcer,2,6/12/2021,24,GSD,Bridge to Tonsina,BT,F,FW,35,Y,745,459,1,F,,Y,,E3
DS003,Beshaw,2,6/12/2021,24,GSD,Bridge to Tonsina,BT,S,DN,,Y,815,605,1,F,,Y,,1.3
DS004,Beshaw,3,6/16/2021,25,GSD,Tonsina to Gakona,TG,F,FW,34,Y,700,530,1,M,,Y,,E3
DS004,Beshaw,3,6/16/2021,25,GSD,Tonsina to Gakona,TG,F,FW,34,Y,800,610,2,M,,Y,,E3
AP006,Mikkelsen,3,6/17/2021,25,CSD,Below Bridge,BB,S,DN,,Y,760,587,1,F,,Y,,E3
AP007,Mikkelsen,3,6/18/2021,25,CSD,Below Bridge,BB,S,DN,,N,ND,ND,1,ND,17314,Y,,1.3
AP007,Mikkelsen,3,6/18/2021,25,CSD,Below Bridge,BB,S,DN,,Y,564,430,2,F,,Y,,1.2
AP007,Mikkelsen,3,6/18/2021,25,CSD,Below Bridge,BB,S,DN,,Y,870,666,3,M,12462,Y,,1.3
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,838,633,1,F,,Y,,1.3
BP004,Williams,3,6/19/2021,25,CSD,Below Bridge,BB,S,DN,,Y,698,552,2,F,,Y,,2.3
