Subdistrict,Fishery,Sample Week,HARVDATE,RED,KING
Glennallen,State SUB,2,6/8/2021,76,10
Glennallen,State SUB,2,6/8/2021,21,1
Glennallen,State SUB,2,6/8/2021,36,2
Glennallen,State SUB,2,6/8/2021,20,3
Glennallen,State SUB,2,6/8/2021,28,0
Glennallen,State SUB,2,6/8/2021,18,3
Glennallen,State SUB,2,6/8/2021,20,0
Glennallen,State SUB,2,6/8/2021,4,0
Glennallen,State SUB,2,6/8/2021,0,1
Glennallen,State SUB,2,6/8/2021,16,1
Glennallen,State SUB,2,6/8/2021,20,2
Glennallen,State SUB,2,6/8/2021,21,5
Glennallen,State SUB,2,6/8/2021,6,0
Glennallen,Federal SUB,2,6/8/2021,23,
Glennallen,Federal SUB,2,6/8/2021,22,
Glennallen,Federal SUB,2,6/8/2021,10,
Glennallen,Federal SUB,2,6/8/2021,14,
Glennallen,Federal SUB,2,6/8/2021,10,
Glennallen,Federal SUB,2,6/8/2021,2,
Glennallen,Federal SUB,2,6/8/2021,7,
Glennallen,Federal SUB,2,6/8/2021,,2
Glennallen,Federal SUB,2,6/8/2021,,2
Glennallen,Federal SUB,2,6/8/2021,,1
Glennallen,State SUB,2,6/9/2021,12,2
Glennallen,State SUB,2,6/9/2021,30,0
Glennallen,State SUB,2,6/9/2021,15,0
Glennallen,State SUB,2,6/9/2021,32,4
Glennallen,State SUB,2,6/9/2021,20,1
Glennallen,State SUB,2,6/9/2021,25,8
Glennallen,State SUB,2,6/9/2021,56,5
Glennallen,State SUB,2,6/9/2021,35,2
Glennallen,State SUB,2,6/9/2021,5,1
Glennallen,State SUB,2,6/9/2021,80,0
Glennallen,State SUB,2,6/9/2021,5,0
Glennallen,State SUB,2,6/9/2021,45,0
Glennallen,State SUB,2,6/9/2021,5,1
Glennallen,State SUB,2,6/9/2021,0,0
Glennallen,State SUB,2,6/9/2021,4,0
Glennallen,State SUB,2,6/9/2021,145,2
Glennallen,State SUB,2,6/9/2021,20,0
Glennallen,State SUB,2,6/9/2021,3,2
Glennallen,State SUB,2,6/9/2021,21,0
Glennallen,State SUB,2,6/9/2021,14,1
Glennallen,State SUB,2,6/9/2021,37,9
Glennallen,State SUB,2,6/9/2021,56,2
Glennallen,State SUB,2,6/9/2021,95,5
Glennallen,State SUB,2,6/9/2021,55,5
Glennallen,State SUB,2,6/9/2021,12,0
Glennallen,State SUB,2,6/9/2021,37,0
Glennallen,State SUB,2,6/9/2021,15,2
Glennallen,State SUB,2,6/9/2021,17,0
Glennallen,State SUB,2,6/9/2021,4,0
Glennallen,State SUB,2,6/9/2021,5,1
Glennallen,State SUB,2,6/9/2021,2,0
Glennallen,State SUB,2,6/9/2021,0,0
Glennallen,State SUB,2,6/9/2021,24,3
Glennallen,State SUB,2,6/9/2021,65,2
Glennallen,State SUB,2,6/9/2021,20,0
Glennallen,State SUB,2,6/9/2021,2,1
Glennallen,State SUB,2,6/9/2021,17,1
Glennallen,State SUB,2,6/9/2021,28,2
Glennallen,State SUB,2,6/9/2021,9,0
Glennallen,State SUB,2,6/9/2021,60,3
Glennallen,State SUB,2,6/9/2021,55,1
Glennallen,State SUB,2,6/9/2021,4,1
Glennallen,State SUB,2,6/9/2021,120,0
Glennallen,Federal SUB,2,6/9/2021,26,
Glennallen,Federal SUB,2,6/9/2021,32,
Glennallen,Federal SUB,2,6/9/2021,18,
Glennallen,Federal SUB,2,6/9/2021,60,
Glennallen,Federal SUB,2,6/9/2021,7,
Glennallen,Federal SUB,2,6/9/2021,3,
Glennallen,Federal SUB,2,6/9/2021,12,
Glennallen,Federal SUB,2,6/9/2021,10,
Glennallen,Federal SUB,2,6/9/2021,4,
